AÑO,CÓDIGO_MUNICIPIO,MUNICIPIO,CÓDIGO_DEPARTAMENTO,DEPARTAMENTO,CÓDIGO_ETC,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2011,5001,Medellín,5,Antioquia,3759,Medellín,386466,108.73,108.5,79.8,107.2,94.8,59.7,125.4,95.4,127.3,137.5,111.2,31.55,97.37,3.69,3.48,3.43,4.32,2.95,96.28,96.52,96.57,95.67,96.88,0.03,0,0,0.01,0.17,4.57,0.15,3.26,7.44,2.95
2011,5002,Abejorral,5,Antioquia,3758,Antioquia (ETC),4146,97.81,97.8,50.6,111.3,74.2,36.3,107.4,76.2,132.9,103,69,21.02,68.66,6.26,7.63,5.46,6.63,8.49,92.03,92.37,93.31,90.41,90.33,1.7,0,1.23,2.96,1.18,0.89,0,0.85,1.08,1.23
2011,5004,Abriaquí,5,Antioquia,3758,Antioquia (ETC),483,88.61,88.6,66.7,93.2,79.3,35.3,103.5,82.1,107.4,116.6,78.8,19.15,75,0.81,,0.49,0.52,2.99,91.9,100,98.04,84.82,89.55,7.29,0,1.47,14.66,7.46,1.69,3.13,1.47,2.22,0
2011,5021,Alejandría,5,Antioquia,3758,Antioquia (ETC),702,118.52,118.5,82.7,127.6,90.2,48.5,134.9,86.5,159.8,140.8,94,32.14,81.25,4.03,,,8.46,8.04,92.39,100,97.84,87.15,83.93,3.58,0,2.16,4.39,8.04,0.6,0,0.96,0,0
2011,5030,Amagá,5,Antioquia,3758,Antioquia (ETC),6631,78.65,78.7,55.3,76.3,70.7,38.9,87.7,74.3,89.8,96.3,73.2,25.05,83.33,4.16,2.39,3.23,6.12,3.21,86.86,97.37,90.04,79.42,89.34,8.99,0.24,6.73,14.46,7.45,0.42,0,0.24,0.91,0
2011,5031,Amalfi,5,Antioquia,3758,Antioquia (ETC),5552,97.71,97.7,61.7,107.2,65.1,27.3,108.4,77.9,146.8,97.3,53.9,20.01,53.45,8.75,5.83,8.59,9.49,9.74,91.25,94.17,91.41,90.51,90.26,0,0,0,0,0,,0.83,,9.93,4.47
2011,5034,Andes,5,Antioquia,3758,Antioquia (ETC),10244,84.45,84.5,65.1,83.7,62,32.2,91.7,81.1,107.5,89.9,61.4,24.43,93.44,3.96,3.06,4.3,4.36,1.68,95.46,96.94,95.12,95.61,95.63,0.58,0,0.58,0.04,2.69,5.41,0.73,5.53,6.9,4.11
2011,5036,Angelópolis,5,Antioquia,3758,Antioquia (ETC),1707,78.85,78.9,56.2,82.4,59.9,26.4,82.8,77.4,105,80.4,40.1,19.57,100,8.14,6.6,6.1,13.17,2.44,86.27,93.4,90.29,77.32,90.24,5.59,0,3.61,9.5,7.32,0.71,0,0.7,1.08,0
2011,5038,Angostura,5,Antioquia,3758,Antioquia (ETC),3344,81.7,81.7,58.5,92.6,49.6,20.3,90.8,72.1,122.2,78.8,50.1,20.29,86.49,5.32,6.45,4.79,5.22,8.64,91.85,93.55,91.49,92.85,89.09,2.83,0,3.73,1.93,2.27,3.92,0,5.16,1.92,2.96
2011,5040,Anorí,5,Antioquia,3758,Antioquia (ETC),3983,92.09,92.1,82.9,110.4,51.1,18.1,100.7,85.7,145.6,79.3,44.8,20.09,63.93,6.26,4.63,8.33,2.49,3.81,92.16,95.37,89.53,96.52,95.76,1.58,0,2.14,1,0.42,0.48,0,0.69,0,0
2011,5042,Santafé de Antioquia,5,Antioquia,3758,Antioquia (ETC),5963,84.59,84.6,50.5,84.3,62.4,31.7,97.8,72.6,112.3,101.6,68.6,23.04,90.91,4.75,3.31,4.12,6.44,4.37,89.91,96.69,89.74,88.09,91.5,5.34,0,6.14,5.47,4.13,3.25,0,2.36,6.09,1.94
2011,5044,Anza,5,Antioquia,3758,Antioquia (ETC),1873,86.07,86.1,60.9,96.7,49.3,21.7,93.2,89.7,130.3,73.9,39.8,16.3,88.89,2.19,1.43,0.49,5.92,4.63,88.02,98.57,86.02,88.39,91.67,9.79,0,,5.69,3.7,0,0,0,0,0
2011,5045,Apartadó,5,Antioquia,7692,Apartado,45592,66.51,66.5,53.2,68.9,48.3,24.7,78.7,66.2,87,81.6,57.5,26.21,65.91,4.81,2.46,4.21,6.03,5.87,94.13,97.54,95.31,91.99,92.06,1.06,0,0.47,1.98,2.07,1.86,0.06,1.81,2.67,0.95
2011,5051,Arboletes,5,Antioquia,3758,Antioquia (ETC),10673,84.85,84.9,71.1,86,55.9,26.7,103.8,87.6,116.3,107,72.7,26.36,47.22,3.18,6.96,2.9,2.95,2.29,93.6,93.04,94,93.31,92.79,3.23,0,3.1,3.74,4.91,2.25,0.66,2.41,2.85,0.73
2011,5055,Argelia,5,Antioquia,3758,Antioquia (ETC),2460,88.58,88.6,66.7,85.2,66.4,23.9,103.7,73.5,118.5,110.8,61.8,31.07,82.98,5.06,6.21,5.4,5.28,1.05,94.9,93.79,94.6,94.72,98.42,0.04,0,0,0,0.53,,0,,2.3,1.27
2011,5059,Armenia,5,Antioquia,3758,Antioquia (ETC),1097,87.97,88,67.4,81.2,72.7,29.8,98.8,83.2,108.3,109.5,63.4,17.79,100,5.19,5.41,6.5,4.12,2.11,89.01,94.59,86.38,93.24,83.16,5.79,0,7.11,2.65,14.74,4.21,0,4.3,6.18,0
2011,5079,Barbosa,5,Antioquia,3758,Antioquia (ETC),10933,82.05,82.1,57.9,79.5,71.8,42.2,88.1,75,96,92.6,66.7,29.49,84,3.01,2.13,2.6,3.53,3.56,87.55,97.87,89.85,84,83.43,9.44,0,7.55,12.47,13.01,1.02,0,0.54,2.07,0.57
2011,5086,Belmira,5,Antioquia,3758,Antioquia (ETC),1700,97.76,97.8,96.5,112.5,61.6,41,101.4,107.1,135.6,80.5,59,26.95,100,6.9,9.27,7.36,6.24,4.09,92,90.73,90.72,93.76,95.32,1.1,0,1.92,0,0.58,,0.66,,,5.85
2011,5088,Bello,5,Antioquia,3760,Bello,91582,82.53,82.4,62.2,79.1,71.6,45.2,93.3,73.5,94.6,103.8,79.3,28.52,87.5,2.76,2.25,2.3,3.55,2.45,96.98,97.75,97.58,96.34,96.2,0.26,0,0.12,0.11,1.35,3.12,0.41,2.39,5.03,1.63
2011,5091,Betania,5,Antioquia,3758,Antioquia (ETC),2345,89.85,89.9,58.6,96.4,59,17.4,98.8,73.2,129.7,95.2,41.4,30.56,96.3,2.65,,3.17,2.76,,97.35,100,96.83,97.24,100,0,0,0,0,0,0.48,0,0.72,0.17,0
2011,5093,Betulia,5,Antioquia,3758,Antioquia (ETC),4260,95.45,95.5,78.6,103,64.4,21.7,105.2,87.5,133.2,100.2,52.5,26.89,87.8,5,2.86,6.15,4.1,1.05,84.05,96.51,82.74,82.09,89.2,10.95,0.63,11.11,13.81,9.76,0.08,0,0.12,0,0
2011,5101,Ciudad Bolívar,5,Antioquia,3758,Antioquia (ETC),6651,88.24,88.2,70,94.5,64.3,32.5,94,81.6,117.5,88,53.6,20.75,97.06,5.97,6.68,5.2,7.8,3.87,93.87,93.32,94.77,92.2,94.5,0.15,0,0.03,0,1.63,4.13,0,5.24,3.54,2.77
2011,5107,Briceño,5,Antioquia,3758,Antioquia (ETC),2256,94.1,94.1,74.5,99.6,49.1,12.3,106.9,118.6,143.2,100.4,28.6,16.28,83.33,9.79,,10.59,7.28,2.63,89.71,82.96,88.51,92.72,97.37,0.5,0,0.9,0,0,0.91,0,1.28,0.67,0
2011,5113,Buriticá,5,Antioquia,3758,Antioquia (ETC),1686,98.81,98.8,70,105.8,56.7,20.6,107.9,99.3,147.1,93,42.3,21.03,62.07,4.58,0.72,2.8,9.75,1.74,88.74,99.28,91.3,80.5,90.43,6.68,0,5.9,9.75,7.83,2.31,0,2.71,2.63,0
2011,5120,Cáceres,5,Antioquia,3758,Antioquia (ETC),9919,84.97,85,73,91.1,52,14.1,91.1,86.1,123,78.6,27.1,26.59,48.89,2.34,2.33,2.2,2.61,2.48,97.64,97.67,97.8,97.39,97.03,0.02,0,0,0,0.5,1.24,0,1.03,2.31,0
2011,5125,Caicedo,5,Antioquia,3758,Antioquia (ETC),2303,77.25,77.3,62.8,94.8,38.8,13.7,83.6,71.1,125.7,62,33.4,18.17,100,6.43,5.47,7.04,6.09,,81.34,94.53,76.46,87.59,100,12.23,0,,6.32,0,1.12,0,1.57,0,0
2011,5129,Caldas,5,Antioquia,3758,Antioquia (ETC),14566,88,87.9,72.2,82.6,84,53.5,96.4,79.6,96.7,108.7,80.8,28.05,65.52,3.21,2.54,2.49,4.49,2.18,87.96,97.19,90.18,83.01,90.52,8.83,0.27,7.33,12.51,7.3,2.93,0.13,2.05,4.53,2.52
2011,5134,Campamento,5,Antioquia,3758,Antioquia (ETC),2288,97.9,97.9,46.8,117.8,41.1,15.5,102.8,73.9,178.7,58,27.2,19.59,86.67,4.18,,2.9,10.74,1.87,94.54,100,96.19,86.58,95.33,1.28,0,0.91,2.68,2.8,0.37,0,0.18,1.82,0
2011,5138,Cañasgordas,5,Antioquia,3758,Antioquia (ETC),4520,82.81,82.8,62.6,80.4,65.8,30.5,92.8,72.3,108.1,97.9,56.9,20.85,48.48,2.6,1.92,2.24,2.38,5.6,96.28,98.08,96.05,96.98,93.64,1.11,0,1.71,0.63,0.76,1.72,0,1.71,2.49,0.29
2011,5142,Caracolí,5,Antioquia,3758,Antioquia (ETC),1134,84.04,84,59.3,83.9,59.1,39.8,97.8,74.7,108.6,98.5,82.1,22.1,87.5,1.1,2.94,1.02,1.36,,98.81,97.06,98.78,98.64,100,0.09,0,0.2,0,0,2.01,0,1.63,4.27,0
2011,5145,Caramanta,5,Antioquia,3758,Antioquia (ETC),1156,86.07,86.1,67,90.4,65.8,44.6,96.4,80.6,109.8,95.2,72,18.2,95.24,4.53,6.02,3.72,6.02,2.99,95.47,93.98,96.28,93.98,97.01,0,0,0,0,0,4.85,0,2.79,10.62,3.39
2011,5147,Carepa,5,Antioquia,3758,Antioquia (ETC),14165,84.38,84.4,68.1,89.5,61.5,22.5,97.5,90.8,123,91.7,48.1,28.86,65.79,2.32,1.69,1.69,3.45,2.93,95.25,98.21,96.27,93.68,90.59,2.43,0.1,2.04,2.87,6.48,0.52,0.1,0.74,0.3,0.25
2011,5148,El Carmen de Viboral,5,Antioquia,3758,Antioquia (ETC),11115,84.17,84.1,73.7,80.2,77.6,49.8,89.6,82.2,91.1,98.6,72.8,26.2,70.27,2.12,2.77,2.35,2.02,1.36,94.44,96.8,94.72,93.24,95.4,3.44,0.44,2.93,4.74,3.25,3.31,0.15,2.74,4.77,3.48
